"Name: SkuLevels"
"Date/Time: 2025-06-04 13:45:27"

Location,Part,Part Description,Dealer Net price (UCS16),Assortment Group (SC8),Production ROP,Production Stock Maximum,Optimized ROP,Optimized Stock Maximum ,Fixed ROP (Post-Optimization),Fixed Stock Maximum (Post-Optimization),End Date,Override Reason,Override Status,Comment,Demand 12 months (UCS19),On Hand New,Bin Location (UCS18),Production Status,Total Period Forecast,AssortmentId (UCPM2),Type of Phase Out (SC4),Effective Lead Time
70913,1309400,washer,34.38,D,-1,0,-1,0,,,,,,,0,1,1K08C03,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1310597,nut plate,131.69,D,-1,0,-1,0,,,,,,,1,0,1K02G01,Auto Approved,0.3333,"=""1000""",Planned,9.00
70913,1312934,O-ring,193.93,D,-1,0,-1,0,,,,,,,0,9,1K08F05,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,131306,washer,31.28,D,-1,0,-1,0,,,,,,,0,0,1K01K02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1313854,silencer,308.42,D,-1,0,-1,0,,,,,,,0,1,1C04E03,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,131455,bearing bush,202.86,D,-1,0,-1,0,,,,,,,0,1,1L10F03,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1318007,screw,246.78,D,-1,0,-1,0,,,,,,,0,15,1K11K04,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1318041,stop solenoid,"4,735.83",D,-1,0,-1,0,,,,,,,2,1,1F07H01,Auto Approved,0.1667,"=""1000""",Planned,9.00
70913,1318388,sealing ring,118.76,D,0,1,0,1,,,,,,,4,2,1L12G02,Auto Approved,0.3500,"=""1000""",Planned,9.00
70913,1319557,neutr pos valve,881.28,D,-1,0,-1,0,,,,,,,0,0,1L06D02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1320289,dowel,536.99,D,-1,0,-1,0,,,,,,,0,1,1L06E03,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1320292,gasket,36.65,D,-1,0,-1,0,,,,,,,0,0,1F02C03,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1320601,expansion tank,836.16,D,-1,0,-1,0,,,,,,,3,0,1H03A02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1320618,seal,7.00,D,-1,0,-1,0,,,,,,,0,2,1F10E02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1322341,buffer,180.45,D,-1,0,-1,0,,,,,,,0,0,1K07D02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,132341,bush,13.10,D,-1,0,-1,0,,,,,,,0,8,1F01E03,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1324294,piston,30.41,D,-1,0,-1,0,,,,,,,1,0,1K04L04,Auto Approved,0.0833,"=""1000""",Planned,9.00
70913,1324597,BUMPER CORN.LH,"1,186.33",D,-1,0,-1,0,,,,,,,0,0,AMZ-11,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1324793,washer,37.23,D,3,6,3,6,,,,,,,9,4,1K04B04,Auto Approved,0.7978,"=""1000""",Planned,9.00
70913,1325279,blind rivet,7.17,D,-1,0,-1,0,,,,,,,0,36,1H07G01,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1325383,ball bearing,592.57,D,-1,0,-1,0,,,,,,,0,0,1H11G06,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1325642,shim,72.86,D,-1,0,-1,0,,,,,,,0,0,1K09E06,Auto Approved,0.0000,"=""1000""",Planned,9.00
